SIRET,SIREN,DEPARTEMENT,NOM_COMMUNE,INSEE,CODE_COMMUNE,POP_2022,FRAIS_REPRESENTATION,EUR_PAR_HAB,COUL_POL,LATITUDE,LONGITUDE,TOTAL_CHARGES,CHARGES_PERSONNEL,ACHATS_SERVICES,CHARGES_FINANCIERES,CHARGES_EXCEPT,AUTRES_CHARGES_GESTION,RATIO_FRAIS_REP
21260205600013,212602056,26,MONTMAUR EN DIOIS,205,26205,95,80.0,0.84,Non classé,44.6780171902,5.36466101369,123456.15,2877.36,30176.28,1925.79,0.0,46626.21,0.0648
21260235300014,212602353,26,PIERRELATTE,235,26235,13909,1619.84,0.12,Droite,44.3606937732,4.68715113615,25282659.0,11322298.16,7071605.1,339192.43,28914.73,3652627.83,0.0064
21260246000017,212602460,26,PONET ET ST AUBAN,246,26246,143,80.0,0.56,Non classé,44.7786630225,5.31353103618,106287.76,10549.23,31465.39,1429.67,0.0,33704.47,0.0753
21260248600012,212602486,26,PONTAIX,248,26248,176,40.0,0.23,Non classé,44.7530320262,5.25667519527,86294.81,5175.32,28943.73,464.43,747.32,38936.68,0.0464
21260250200016,212602502,26,PONT DE L ISERE,250,26250,3683,175.0,0.05,Droite,45.015193999,4.88159850923,2519673.17,1362230.0,636634.87,53587.58,11330.6,270586.59,0.0069
21260270000016,212602700,26,ROCHECHINARD,270,26270,130,95.0,0.73,Non classé,45.0272825113,5.24326609957,103521.42,1315.98,50222.76,0.0,0.0,36669.25,0.0918
21260332800015,212603328,26,ST UZE,332,26332,2129,551.72,0.26,Non classé,45.1900433327,4.86747069605,1239106.45,430447.46,533785.09,19977.36,2169.55,200635.42,0.0445
21260337700012,212603377,26,SAULCE SUR RHONE,337,26337,1882,900.0,0.48,,44.7042406134,4.79084711633,2217428.31,748659.11,791056.81,35281.02,12.6,420472.71,0.0406
21260381500011,212603815,26,JAILLANS,381,26381,976,760.0,0.78,Non classé,45.0288659081,5.16948509567,577362.25,246228.59,161447.07,2006.83,20.6,158783.5,0.1316
21270008200010,212700082,27,ALIZAY,8,27008,1575,1200.0,0.76,Non classé,49.3219074958,1.17828361031,3060534.71,1431799.97,914873.42,44136.08,75832.48,535497.45,0.0392
21270073600011,212700736,27,BOIS-LE-ROI,73,27073,1234,192.29,0.16,Non classé,48.8610331627,1.34099240808,691219.65,174536.04,172138.92,19906.02,300.0,313218.87,0.0278
21270377100015,212703771,27,LYONS-LA-FORET,377,27377,730,294.6,0.4,Non classé,49.3936970778,1.47355856778,927346.04,277934.88,282406.37,7900.92,80010.0,242411.96,0.0318
20005646300017,200056463,28,AUNEAU BLEURY ST SYMPHORIEN,15,28015,6354,85.03,0.01,Droite,48.4694338029,1.77316730051,7505020.63,3377029.76,1482336.77,129356.54,118333.44,1102164.12,0.0011
20006476400018,200064764,28,CLOYES LES TROIS RIVIERES,103,28103,5601,358.2,0.06,,47.9934559542,1.22150535909,7521409.37,2205075.57,2594696.34,325681.01,164878.11,1574823.38,0.0048
21280032000013,212800320,28,BEAUVILLIERS,32,28032,342,82.0,0.24,Non classé,48.3006109163,1.6537618086,321735.52,114185.76,86817.18,6651.1,10.48,58790.16,0.0255
21280039500015,212800395,28,BEVILLE-LE-COMTE,39,28039,1693,96.71,0.06,Non classé,48.4402167565,1.70331148118,1113103.37,358882.07,306627.3,2808.47,8100.0,411671.99,0.0087
21280051000019,212800510,28,BONNEVAL,51,28051,4890,83.16,0.02,,48.1812188908,1.3853348704,7409863.02,1018583.28,2554677.2,495818.11,727704.75,1845330.13,0.0011
21280085800012,212800858,28,CHARTRES,85,28085,37990,24000.0,0.63,Droite,48.4471464884,1.50570610616,82647406.99,18564304.0,31245234.77,4270924.57,12185577.99,11443097.64,0.029
21280124500011,212801245,28,DAMPIERRE-SUR-AVRE,124,28124,763,41.0,0.05,Non classé,48.7574894001,1.14268157055,247457.31,37189.83,78988.8,4925.35,3009.0,118911.34,0.0166
